"","DOWNLOAD.DATE","IDENTIFIER","LATEST.ADMISSION.DATE","RACE","GENDER","AGE","BOND.AMOUNT","OFFENSE","FACILITY","DETAINER","max_bail","min_bail","earliest","earliest2","latest","duration1","duration2","for_filter","prior","current","quantile"
"5316",2016-08-17,"ZZSESRWC","03/31/2016","HISPANIC","M",45,16000,"CONSPIRACY","BRIDGEPORT CC","OTHER STATE",16000,16000,2016-08-17,2016-03-31,2016-09-19,33,172,"ZZSESRWCCONSPIRACY","in after July 1","out",2
"5317",2016-08-17,"ZZSEWLLW","08/16/2016","WHITE","F",41,10000,"BURGLARY, THIRD DEGREE                DF","YORK CI","NONE",10050,10000,2016-08-17,2016-08-16,2016-10-06,50,51,"ZZSEWLLWBURGLARY, THIRD DEGREE                DF","in after July 1","out",1
"5318",2016-08-17,"ZZSEWWRL","08/16/2016","WHITE","M",21,10000,"ASSAULT, THIRD DEGREE                 AM","CORRIGAN CI","NONE",10000,10000,2016-08-17,2016-08-16,2016-08-19,2,3,"ZZSEWWRLASSAULT, THIRD DEGREE                 AM","in after July 1","out",1
"5319",2016-08-17,"ZZSEZBWR","08/16/2016","BLACK","M",19,50000,"LARCENY, SECOND DEGREE                CF","HARTFORD CC","NONE",70000,50000,2016-08-17,2016-08-16,2016-11-07,82,83,"ZZSEZBWRLARCENY, SECOND DEGREE                CF","in after July 1","out",3
"5320",2016-08-17,"ZZSEZHBC","08/16/2016","WHITE","F",48,1000,"BREACH OF PEACE                       BM","YORK CI","NONE",1000,1000,2016-08-17,2016-08-16,2016-09-19,33,34,"ZZSEZHBCBREACH OF PEACE                       BM","in after July 1","out",1
"5321",2016-08-17,"ZZSZBEZL","08/16/2016","BLACK","M",24,5000,"DISORDERLY CONDUCT                    CM","BRIDGEPORT CC","NONE",5000,5000,2016-08-17,2016-08-16,2016-08-19,2,3,"ZZSZBEZLDISORDERLY CONDUCT                    CM","in after July 1","out",1
"5322",2016-08-17,"ZZSZBRWH","08/15/2016","HISPANIC","M",21,100000,"CRIM VIOL OF PROTECTIVE ORDER         DF","BRIDGEPORT CC","NONE",100000,100000,2016-08-17,2016-08-15,2016-11-21,96,98,"ZZSZBRWHCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",3
"5323",2016-08-17,"ZZSZCHHL","01/20/2016","WHITE","M",52,21600,"FAILURE TO APPEAR, FIRST DEGREE       DF","BRIDGEPORT CC","NONE",71600,21600,2016-08-17,2016-01-20,2016-12-20,125,335,"ZZSZCHHLFAILURE TO APPEAR, FIRST DEGREE       DF","in after July 1","out",2
"5324",2016-08-17,"ZZSZLZLW","08/16/2016","WHITE","M",46,5000,"STALKING, 2ND DEGREE                  AM","NEW HAVEN CC","NONE",30000,5000,2016-08-17,2016-08-16,2016-09-19,33,34,"ZZSZLZLWSTALKING, 2ND DEGREE                  AM","in after July 1","out",1
"5325",2016-08-17,"ZZSZWLBW","08/15/2016","WHITE","M",38,25050,"CRIM VIOL OF PROTECTIVE ORDER         DF","BRIDGEPORT CC","NONE",60050,25050,2016-08-17,2016-08-15,2016-11-01,76,78,"ZZSZWLBWCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",2
"5326",2016-08-17,"ZZZCLWSJ","08/16/2016","BLACK","M",56,5000,"CRIM VIOL OF PROTECTIVE ORDER         DF","CORRIGAN CI","NONE",5000,5000,2016-08-17,2016-08-16,2016-08-19,2,3,"ZZZCLWSJCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",1
"5327",2016-08-18,"ZZEESHZJ","08/16/2016","BLACK","M",57,75000,"CONSPIRACY","BRIDGEPORT CC","NONE",75000,75000,2016-08-18,2016-08-16,2016-09-19,32,34,"ZZEESHZJCONSPIRACY","in after July 1","out",3
"5328",2016-08-18,"ZZEHCWJE","08/17/2016","BLACK","M",47,500,"CRIMINAL TRESPASS, FIRST DEGREE       AM","HARTFORD CC","NONE",500,500,2016-08-18,2016-08-17,2016-09-15,28,29,"ZZEHCWJECRIMINAL TRESPASS, FIRST DEGREE       AM","in after July 1","out",1
"5329",2016-08-18,"ZZELBSZB","03/04/2016","BLACK","M",44,20001,"FAILURE TO APPEAR, FIRST DEGREE       DF","BRIDGEPORT CC","NONE",20001,20000,2016-08-18,2016-03-04,2016-09-19,32,199,"ZZELBSZBFAILURE TO APPEAR, FIRST DEGREE       DF","in after July 1","out",2
"5330",2016-08-18,"ZZELZZHS","08/17/2016","WHITE","M",50,2000,"EVADING RESPONSIBILITY                 M","HARTFORD CC","NONE",2000,2000,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZELZZHSEVADING RESPONSIBILITY                 M","in after July 1","out",1
"5331",2016-08-18,"ZZHBBWZC","08/17/2016","BLACK","M",52,15000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",15600,15000,2016-08-18,2016-08-17,2016-09-19,32,33,"ZZHBBWZCVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",2
"5332",2016-08-18,"ZZHBHRLC","08/17/2016","WHITE","F",25,2500,"VIOLATION OF PROBATION OR COND DISCHG","YORK CI","NONE",2500,2500,2016-08-18,2016-08-17,2016-08-18,0,1,"ZZHBHRLCVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",1
"5333",2016-08-18,"ZZHBJSEC","08/17/2016","WHITE","F",32,25000,"VIOLATION OF PROBATION OR COND DISCHG","YORK CI","NONE",25000,25000,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZHBJSECVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",2
"5334",2016-08-18,"ZZHBRCZH","08/17/2016","WHITE","M",51,2500,"OPERATE UNDER INFLU OF LIQ OR DRUGS","NEW HAVEN CC","NONE",2500,1000,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZHBRCZHOPERATE UNDER INFLU OF LIQ OR DRUGS","in after July 1","out",1
"5335",2016-08-18,"ZZHCBLRJ","08/17/2016","HISPANIC","M",23,300000,"ASSAULT, FIRST DEGREE                 BF","BRIDGEPORT CC","NONE",300000,300000,2016-08-18,2016-08-17,2016-08-18,0,1,"ZZHCBLRJASSAULT, FIRST DEGREE                 BF","in after July 1","out",4
"5336",2016-08-18,"ZZHCERSR","08/17/2016","BLACK","M",22,25000,"THREATENING                           AM","BRIDGEPORT CC","NONE",25000,25000,2016-08-18,2016-08-17,2016-10-05,48,49,"ZZHCERSRTHREATENING                           AM","in after July 1","out",2
"5337",2016-08-18,"ZZHCEWEW","08/17/2016","WHITE","M",31,5000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",5100,5000,2016-08-18,2016-08-17,2016-10-12,55,56,"ZZHCEWEWVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",1
"5338",2016-08-18,"ZZHCJCWS","08/17/2016","HISPANIC","M",33,10000,"ABUSE OF PERSONS-2ND DEGREE           DF","NEW HAVEN CC","NONE",10000,10000,2016-08-18,2016-08-17,2016-10-13,56,57,"ZZHCJCWSABUSE OF PERSONS-2ND DEGREE           DF","in after July 1","out",1
"5339",2016-08-18,"ZZHECBWW","08/17/2016","BLACK","M",34,35000,"TEMPORARY SURRENDER","HARTFORD CC","NONE",35000,35000,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZHECBWWTEMPORARY SURRENDER","in after July 1","out",2
"5340",2016-08-18,"ZZHECZRW","08/17/2016","WHITE","M",32,10000,"CRIMINAL POSS OF PISTOL/REVOLVER      DF","HARTFORD CC","NONE",30000,10000,2016-08-18,2016-08-17,2016-11-16,90,91,"ZZHECZRWCRIMINAL POSS OF PISTOL/REVOLVER      DF","in after July 1","out",1
"5341",2016-08-18,"ZZHEHSZJ","08/17/2016","BLACK","M",56,100000,"ARREST WITHOUT WARRANT","CORRIGAN CI","NONE",100000,100000,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZHEHSZJARREST WITHOUT WARRANT","in after July 1","out",3
"5342",2016-08-18,"ZZHEJJEL","08/17/2016","HISPANIC","M",36,10000,"TEMPORARY SURRENDER","HARTFORD CC","NONE",10200,10000,2016-08-18,2016-08-17,2016-09-13,26,27,"ZZHEJJELTEMPORARY SURRENDER","in after July 1","out",1
"5343",2016-08-18,"ZZHERCJW","08/17/2016","HISPANIC","M",30,25000,"BURGLARY, THIRD DEGREE                DF","HARTFORD CC","NONE",25000,25000,2016-08-18,2016-08-17,2016-09-19,32,33,"ZZHERCJWBURGLARY, THIRD DEGREE                DF","in after July 1","out",2
"5344",2016-08-18,"ZZHHEWLW","08/17/2016","BLACK","F",27,20000,"FAILURE TO APPEAR, SECOND DEGREE      AM","YORK CI","NONE",20000,20000,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZHHEWLWFAILURE TO APPEAR, SECOND DEGREE      AM","in after July 1","out",2
"5345",2016-08-18,"ZZHHHEJE","08/17/2016","HISPANIC","M",29,27500,"ARREST WITHOUT WARRANT","NEW HAVEN CC","NONE",27500,27500,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZHHHEJEARREST WITHOUT WARRANT","in after July 1","out",2
"5346",2016-08-18,"ZZHHSEJC","08/17/2016","HISPANIC","M",30,99300,"INTERFERING WITH AN OFFICER           AM","HARTFORD CC","NONE",99950,99000,2016-08-18,2016-08-17,2016-10-14,57,58,"ZZHHSEJCINTERFERING WITH AN OFFICER           AM","in after July 1","out",3
"5347",2016-08-18,"ZZHJHEJL","08/17/2016","BLACK","M",22,6000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",6000,6000,2016-08-18,2016-08-17,2016-09-19,32,33,"ZZHJHEJLVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",1
"5348",2016-08-18,"ZZHJLSHJ","08/17/2016","HISPANIC","M",50,1000,"VIOLATION OF PROBATION OR COND DISCHG","BRIDGEPORT CC","NONE",1000,1000,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZHJLSHJVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",1
"5349",2016-08-18,"ZZHJRBWL","08/17/2016","HISPANIC","M",30,20000,"ASSAULT, THIRD DEGREE                 AM","HARTFORD CC","NONE",20000,20000,2016-08-18,2016-08-17,2016-09-16,29,30,"ZZHJRBWLASSAULT, THIRD DEGREE                 AM","in after July 1","out",2
"5350",2016-08-18,"ZZHJZEJR","08/17/2016","HISPANIC","M",41,50000,"ASSAULT, THIRD DEGREE                 AM","BRIDGEPORT CC","NONE",50500,50000,2016-08-18,2016-08-17,2016-09-07,20,21,"ZZHJZEJRASSAULT, THIRD DEGREE                 AM","in after July 1","out",3
"5351",2016-08-18,"ZZHLBECC","08/17/2016","HISPANIC","M",29,10000,"VIOLATION OF PROBATION OR COND DISCHG","HARTFORD CC","NONE",10000,10000,2016-08-18,2016-08-17,2016-09-07,20,21,"ZZHLBECCVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",1
"5352",2016-08-18,"ZZHLRSWS","08/17/2016","WHITE","M",25,50000,"CRIM VIOL ST CRIM RESTR ORDER         DF","CORRIGAN CI","NONE",50000,50000,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZHLRSWSCRIM VIOL ST CRIM RESTR ORDER         DF","in after July 1","out",3
"5353",2016-08-18,"ZZHRBWZB","08/17/2016","HISPANIC","M",39,100000,"VIOLATION OF PROBATION OR COND DISCHG","CORRIGAN CI","NONE",100000,100000,2016-08-18,2016-08-17,2017-01-06,141,142,"ZZHRBWZBVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",3
"5354",2016-08-18,"ZZHRRCWL","08/17/2016","WHITE","M",47,20000,"STALKING, 2ND DEGREE                  AM","NEW HAVEN CC","NONE",20000,5000,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZHRRCWLSTALKING, 2ND DEGREE                  AM","in after July 1","out",2
"5355",2016-08-18,"ZZHWBLWC","08/17/2016","WHITE","M",30,20000,"CRIMINAL MISCHIEF, SECOND DEGREE      AM","HARTFORD CC","NONE",20200,20000,2016-08-18,2016-08-17,NA,NA,NA,"ZZHWBLWCCRIMINAL MISCHIEF, SECOND DEGREE      AM","in after July 1","still in",2
"5356",2016-08-18,"ZZREZWHZ","08/17/2016","WHITE","M",53,75000,"CRIM VIOL OF PROTECTIVE ORDER         DF","NEW HAVEN CC","NONE",75000,75000,2016-08-18,2016-08-17,2016-11-03,77,78,"ZZREZWHZCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",3
"5357",2016-08-18,"ZZRLEHJZ","08/17/2016","HISPANIC","M",37,76000,"ASSAULT, THIRD DEGREE                 AM","HARTFORD CC","NONE",76000,76000,2016-08-18,2016-08-17,2016-10-06,49,50,"ZZRLEHJZASSAULT, THIRD DEGREE                 AM","in after July 1","out",3
"5358",2016-08-18,"ZZRLJECB","08/17/2016","WHITE","M",33,275000,"ROBBERY, SECOND DEGREE                CF","NEW HAVEN CC","NONE",275000,210500,2016-08-18,2016-08-17,NA,NA,NA,"ZZRLJECBROBBERY, SECOND DEGREE                CF","in after July 1","still in",4
"5359",2016-08-18,"ZZRSHJBB","08/17/2016","WHITE","F",44,30000,"POSSESSION OF NARCOTICS","YORK CI","NONE",30000,30000,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZRSHJBBPOSSESSION OF NARCOTICS","in after July 1","out",2
"5360",2016-08-18,"ZZSEECHS","08/17/2016","BLACK","F",19,5025,"VIOLATION OF PROBATION OR COND DISCHG","YORK CI","NONE",5025,3000,2016-08-18,2016-08-17,2016-09-09,22,23,"ZZSEECHSVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",1
"5361",2016-08-18,"ZZSELEJB","08/02/2016","HISPANIC","M",26,2000,"LARCENY, SECOND DEGREE                CF","BRIDGEPORT CC","NONE",2000,2000,2016-08-18,2016-08-02,2016-09-15,28,44,"ZZSELEJBLARCENY, SECOND DEGREE                CF","in after July 1","out",1
"5362",2016-08-18,"ZZSELEWB","08/01/2016","HISPANIC","M",21,100000,"INJURY OR RISK OF INJURY TO MINOR      F","BRIDGEPORT CC","NONE",150000,100000,2016-08-18,2016-08-01,NA,NA,NA,"ZZSELEWBINJURY OR RISK OF INJURY TO MINOR      F","in after July 1","still in",3
"5363",2016-08-18,"ZZSELSHB","08/17/2016","BLACK","F",20,5000,"INJURY OR RISK OF INJURY TO MINOR      F","YORK CI","NONE",5000,5000,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZSELSHBINJURY OR RISK OF INJURY TO MINOR      F","in after July 1","out",1
"5364",2016-08-18,"ZZSELSHC","08/17/2016","HISPANIC","M",25,75000,"ASSAULT 2ND WITH MV WHILE INTOXICATED DF","NEW HAVEN CC","NONE",75500,75000,2016-08-18,2016-08-17,NA,NA,NA,"ZZSELSHCASSAULT 2ND WITH MV WHILE INTOXICATED DF","in after July 1","still in",3
"5365",2016-08-18,"ZZSELSHE","08/17/2016","WHITE","M",22,50000,"INJURY OR RISK OF INJURY TO MINOR      F","CORRIGAN CI","NONE",70000,50000,2016-08-18,2016-08-17,2016-11-09,83,84,"ZZSELSHEINJURY OR RISK OF INJURY TO MINOR      F","in after July 1","out",3
"5366",2016-08-18,"ZZSELSHH","08/17/2016","HISPANIC","M",29,25000,"SALE OF NARC/AMPHET BY NON-DEPENDENT   F","BRIDGEPORT CC","NONE",25000,25000,2016-08-18,2016-08-17,NA,NA,NA,"ZZSELSHHSALE OF NARC/AMPHET BY NON-DEPENDENT   F","in after July 1","still in",2
"5367",2016-08-18,"ZZSELSHJ","08/17/2016","BLACK","M",29,50000,"HOME INVASION                         AF","BRIDGEPORT CC","NONE",50000,50000,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZSELSHJHOME INVASION                         AF","in after July 1","out",3
"5368",2016-08-18,"ZZSELSHR","08/17/2016","WHITE","M",41,50000,"LARCENY, THIRD DEGREE                 DF","NEW HAVEN CC","NONE",50000,50000,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZSELSHRLARCENY, THIRD DEGREE                 DF","in after July 1","out",3
"5369",2016-08-18,"ZZSELSHW","08/17/2016","WHITE","M",34,10000,"DRUG PARAPHERNALIA IN DRUG FACTORY     F","HARTFORD CC","NONE",10100,10000,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZSELSHWDRUG PARAPHERNALIA IN DRUG FACTORY     F","in after July 1","out",1
"5370",2016-08-18,"ZZSELSHZ","08/17/2016","HISPANIC","F",31,101000,"IDENTITY THEFT 3RD DEGREE             DF","YORK CI","NONE",101000,101000,2016-08-18,2016-08-17,2016-11-04,78,79,"ZZSELSHZIDENTITY THEFT 3RD DEGREE             DF","in after July 1","out",4
"5371",2016-08-18,"ZZSELSSH","08/17/2016","BLACK","M",37,50000,"VIOLATION OF PROBATION OR COND DISCHG","BRIDGEPORT CC","NONE",50000,50000,2016-08-18,2016-08-17,2016-08-19,1,2,"ZZSELSSHVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",3
"5372",2016-08-18,"ZZSELSSZ","08/17/2016","WHITE","M",25,50000,"FAILURE TO OBEY AN OFFICER","BRIDGEPORT CC","NONE",50000,50000,2016-08-18,2016-08-17,2016-08-18,0,1,"ZZSELSSZFAILURE TO OBEY AN OFFICER","in after July 1","out",3
"5373",2016-08-18,"ZZSESBWB","05/10/2016","HISPANIC","M",20,40000,"CRIM VIOL OF PROTECTIVE ORDER         DF","MANSON YI","NONE",40000,10000,2016-08-18,2016-05-10,2016-11-15,89,189,"ZZSESBWBCRIM VIOL OF PROTECTIVE ORDER         DF","in after July 1","out",3
"5374",2016-08-18,"ZZSESBWE","05/10/2016","BLACK","M",23,35000,"ASSAULT, 1ST VICTIM 60 OR OVER        BF","BRIDGEPORT CC","NONE",35000,35000,2016-08-18,2016-05-10,2016-10-14,57,157,"ZZSESBWEASSAULT, 1ST VICTIM 60 OR OVER        BF","in after July 1","out",2
"5375",2016-08-18,"ZZSESLJZ","08/17/2016","BLACK","M",21,27000,"ASSAULT 2ND, VICTIM 60 OR OVER        DF","NEW HAVEN CC","NONE",327000,27000,2016-08-18,2016-08-17,2016-10-27,70,71,"ZZSESLJZASSAULT 2ND, VICTIM 60 OR OVER        DF","in after July 1","out",2
"5376",2016-08-18,"ZZSESLZB","08/17/2016","BLACK","M",29,20000,"VIOLATION OF PROBATION OR COND DISCHG","HARTFORD CC","NONE",20000,20000,2016-08-18,2016-08-17,2016-09-08,21,22,"ZZSESLZBVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",2
"5377",2016-08-18,"ZZSZEBBS","06/09/2016","BLACK","M",20,365250,"ROBBERY, SECOND DEGREE                CF","BRIDGEPORT CC","NONE",365250,365250,2016-08-18,2016-06-09,2016-09-19,32,102,"ZZSZEBBSROBBERY, SECOND DEGREE                CF","in after July 1","out",4
"5378",2016-08-18,"ZZSZHSSZ","08/17/2016","WHITE","M",29,35000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",35000,35000,2016-08-18,2016-08-17,NA,NA,NA,"ZZSZHSSZVIOLATION OF PROBATION OR COND DISCHG","in after July 1","still in",2
"5379",2016-08-18,"ZZSZJZWH","08/17/2016","HISPANIC","M",23,20000,"VIOLATION OF PROBATION OR COND DISCHG","HARTFORD CC","NONE",20500,20000,2016-08-18,2016-08-17,2016-11-17,91,92,"ZZSZJZWHVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",2
"5380",2016-08-18,"ZZSZLZHH","08/17/2016","BLACK","M",21,35100,"FAILURE TO APPEAR, FIRST DEGREE       DF","GARNER","NONE",35100,17600,2016-08-18,2016-08-17,2016-09-19,32,33,"ZZSZLZHHFAILURE TO APPEAR, FIRST DEGREE       DF","in after July 1","out",3
"5381",2016-08-18,"ZZSZRBWB","08/17/2016","BLACK","M",25,5000,"FAILURE TO APPEAR, SECOND DEGREE      AM","BRIDGEPORT CC","NONE",5000,5000,2016-08-18,2016-08-17,2016-08-18,0,1,"ZZSZRBWBFAILURE TO APPEAR, SECOND DEGREE      AM","in after July 1","out",1
"5382",2016-08-18,"ZZSZRLJL","08/17/2016","WHITE","M",30,250,"FAILURE TO APPEAR, SECOND DEGREE      AM","HARTFORD CC","NONE",250,250,2016-08-18,2016-08-17,2016-08-18,0,1,"ZZSZRLJLFAILURE TO APPEAR, SECOND DEGREE      AM","in after July 1","out",1
"5383",2016-08-19,"ZZEHBZLC","08/18/2016","HISPANIC","M",53,35000,"ASSAULT, THIRD DEGREE                 AM","HARTFORD CC","NONE",45000,35000,2016-08-19,2016-08-18,2016-10-27,69,70,"ZZEHBZLCASSAULT, THIRD DEGREE                 AM","in after July 1","out",2
"5384",2016-08-19,"ZZEJEEJL","08/18/2016","BLACK","M",55,250000,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F","HARTFORD CC","NONE",250000,250000,2016-08-19,2016-08-18,2016-11-17,90,91,"ZZEJEEJLSALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F","in after July 1","out",4
"5385",2016-08-19,"ZZELLSLL","08/18/2016","BLACK","F",51,80000,"SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F","YORK CI","NONE",80000,80000,2016-08-19,2016-08-18,2016-10-07,49,50,"ZZELLSLLSALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F","in after July 1","out",3
"5386",2016-08-19,"ZZELSBSH","08/18/2016","BLACK","M",44,75000,"VIOLATION OF PROBATION OR COND DISCHG","HARTFORD CC","NONE",75000,75000,2016-08-19,2016-08-18,2016-08-19,0,1,"ZZELSBSHVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",3
"5387",2016-08-19,"ZZERZSZB","08/11/2016","WHITE","M",53,5100,"LARCENY, SIXTH DEGREE                 CM","BRIDGEPORT CC","NONE",7350,5100,2016-08-19,2016-08-11,2016-11-21,94,102,"ZZERZSZBLARCENY, SIXTH DEGREE                 CM","in after July 1","out",1
"5388",2016-08-19,"ZZESJLZW","08/18/2016","WHITE","M",47,75000,"ASSAULT, SECOND DEGREE                DF","CORRIGAN CI","NONE",75500,75000,2016-08-19,2016-08-18,2016-09-07,19,20,"ZZESJLZWASSAULT, SECOND DEGREE                DF","in after July 1","out",3
"5389",2016-08-19,"ZZEWWHLJ","08/18/2016","BLACK","M",51,100000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",100000,100000,2016-08-19,2016-08-18,2016-09-19,31,32,"ZZEWWHLJVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",3
"5390",2016-08-19,"ZZHBHRZS","08/18/2016","BLACK","M",27,15000,"CRIM VIOL RES ORDER                   AM","HARTFORD CC","NONE",15000,15000,2016-08-19,2016-08-18,2016-09-19,31,32,"ZZHBHRZSCRIM VIOL RES ORDER                   AM","in after July 1","out",2
"5391",2016-08-19,"ZZHBSBEH","08/18/2016","BLACK","M",28,77000,"LARCENY, THIRD DEGREE                 DF","BRIDGEPORT CC","NONE",77000,77000,2016-08-19,2016-08-18,2016-11-21,94,95,"ZZHBSBEHLARCENY, THIRD DEGREE                 DF","in after July 1","out",3
"5392",2016-08-19,"ZZHBZCBC","08/18/2016","HISPANIC","M",25,150000,"CRIMINAL MISCHIEF, FIRST DEGREE       DF","HARTFORD CC","NONE",150000,150000,2016-08-19,2016-08-18,2016-08-19,0,1,"ZZHBZCBCCRIMINAL MISCHIEF, FIRST DEGREE       DF","in after July 1","out",4
"5393",2016-08-19,"ZZHBZWBE","01/20/2016","WHITE","M",23,35000,"ROBBERY, THIRD DEGREE                 DF","HARTFORD CC","NONE",35000,35000,2016-08-19,2016-01-20,2016-08-19,0,212,"ZZHBZWBEROBBERY, THIRD DEGREE                 DF","in after July 1","out",2
"5394",2016-08-19,"ZZHCEHJB","08/18/2016","BLACK","F",30,21000,"FAILURE TO APPEAR, SECOND DEGREE      AM","YORK CI","NONE",31000,21000,2016-08-19,2016-08-18,2016-09-19,31,32,"ZZHCEHJBFAILURE TO APPEAR, SECOND DEGREE      AM","in after July 1","out",2
"5395",2016-08-19,"ZZHCHCEW","08/18/2016","WHITE","M",28,30000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",120000,30000,2016-08-19,2016-08-18,NA,NA,NA,"ZZHCHCEWVIOLATION OF PROBATION OR COND DISCHG","in after July 1","still in",2
"5396",2016-08-19,"ZZHCHRHW","08/18/2016","WHITE","M",23,52500,"ASSAULT 2ND WITH MV WHILE INTOXICATED DF","NEW HAVEN CC","NONE",52500,52500,2016-08-19,2016-08-18,2016-11-16,89,90,"ZZHCHRHWASSAULT 2ND WITH MV WHILE INTOXICATED DF","in after July 1","out",3
"5397",2016-08-19,"ZZHCHWZS","08/18/2016","HISPANIC","M",25,105000,"ASSAULT, THIRD DEGREE                 AM","HARTFORD CC","NONE",106000,105000,2016-08-19,2016-08-18,2016-09-19,31,32,"ZZHCHWZSASSAULT, THIRD DEGREE                 AM","in after July 1","out",4
"5398",2016-08-19,"ZZHCLEWH","08/18/2016","BLACK","F",30,45500,"ASSAULT, THIRD DEGREE                 AM","YORK CI","NONE",45500,15000,2016-08-19,2016-08-18,NA,NA,NA,"ZZHCLEWHASSAULT, THIRD DEGREE                 AM","in after July 1","still in",3
"5399",2016-08-19,"ZZHHJSJB","08/01/2016","BLACK","M",26,1050,"CARRYING OR SALE OF DANGEROUS WEAPON","CORRIGAN CI","NONE",1050,1050,2016-08-19,2016-08-01,2016-08-19,0,18,"ZZHHJSJBCARRYING OR SALE OF DANGEROUS WEAPON","in after July 1","out",1
"5400",2016-08-19,"ZZHHWBJL","08/18/2016","WHITE","M",31,20500,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",20500,20500,2016-08-19,2016-08-18,2016-08-19,0,1,"ZZHHWBJLVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",2
"5401",2016-08-19,"ZZHJEWHB","08/18/2016","WHITE","M",23,200000,"VIOLATION OF PROBATION OR COND DISCHG","NEW HAVEN CC","NONE",200000,200000,2016-08-19,2016-08-18,2016-09-19,31,32,"ZZHJEWHBVIOLATION OF PROBATION OR COND DISCHG","in after July 1","out",4
"5402",2016-08-19,"ZZHJJZSR","08/18/2016","WHITE","F",27,18000,"SALE OF HEROIN, COC BY NON-DEPENDENT","YORK CI","NONE",18000,18000,2016-08-19,2016-08-18,2016-09-14,26,27,"ZZHJJZSRSALE OF HEROIN, COC BY NON-DEPENDENT","in after July 1","out",2
"5403",2016-08-19,"ZZHLRSEC","08/18/2016","BLACK","M",25,75000,"CRIMINAL POSSESSION OF A PISTOL       DF","BRIDGEPORT CC","NONE",75100,75000,2016-08-19,2016-08-18,2016-09-19,31,32,"ZZHLRSECCRIMINAL POSSESSION OF A PISTOL       DF","in after July 1","out",3
"5404",2016-08-19,"ZZHLRZBJ","08/18/2016","WHITE","M",33,2600,"PROHIB ACTS RE: DRUG PARAPHERNALIA","HARTFORD CC","NONE",2600,2600,2016-08-19,2016-08-18,2016-11-02,75,76,"ZZHLRZBJPROHIB ACTS RE: DRUG PARAPHERNALIA","in after July 1","out",1
"5405",2016-08-19,"ZZHLWSEC","08/18/2016","HISPANIC","M",33,75000,"INJURY OR RISK OF INJURY TO MINOR      F","BRIDGEPORT CC","NONE",75000,75000,2016-08-19,2016-08-18,2016-08-19,0,1,"ZZHLWSECINJURY OR RISK OF INJURY TO MINOR      F","in after July 1","out",3
"5406",2016-08-19,"ZZHLZCJW","08/18/2016","BLACK","M",36,65000,"FAILURE TO APPEAR, FIRST DEGREE       DF","CORRIGAN CI","NONE",65000,65000,2016-08-19,2016-08-18,2016-08-19,0,1,"ZZHLZCJWFAILURE TO APPEAR, FIRST DEGREE       DF","in after July 1","out",3
